Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d
舞光,dancing lights,居家生活,Home & Living,Home & Living,Home & Living
聯成電腦零基礎,Liancheng Computer Zero Basics,服務、票券,,,
跑馬燈,Marquee,汽機車零件百貨,Hardware & 3C,Motors,
公司章推薦,Company seal recommendation,居家生活,Home & Living,,
衣服店,clothes store,女生衣著,Women's Apparel,Women's Apparel,
蝦皮手續費試算,Shopee fee calculation,Others,,,
泰國 代購,Thailand Purchasing Agency,其他類別,Health & Beauty,Everything Else,
火影忍者 漫畫,naruto comics,書籍及文創商品,Books,Books,Books
食物真空袋,food vacuum bag,居家生活,Home & Living,Home & Living,
隔音條,Sound insulation strips,汽機車零件百貨,Motors,Home & Living,Home & Living
收涎饅頭,Saliva-collecting steamed buns,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
printer,printer,3C與筆電,Hardware & 3C,Hardware & 3C,
電競館,eSports Arena,3C與筆電,,Home & Living,
陳美鳳,Chen Meifeng,居家生活,Health & Beauty,Sports & Outdoors,
apple watch se2,apple watch se2,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
nac nac消毒鍋,nac nac sterilizer,嬰幼童與母親,Mother & Baby,Mother & Baby,
免治馬桶推薦,Recommended toilets,家電影音,Home & Living,Home & Living,Home & Living
透明真空袋,Transparent vacuum bag,居家生活,Home & Living,Home & Living,
polylulu,polylulu,女生衣著,Women's Apparel,Women's Apparel,
紅魔蝦,Red Devil Shrimp,美食、伴手禮,,Food & Beverages,
衣物收納,Clothes storage,居家生活,Home & Living,Home & Living,Home & Living
net門市,net store,Others,Mother & Baby,Women's Apparel,
kia sportage,kia sportage,汽機車零件百貨,Motors,Motors,
msn,msn,女生包包/精品,Life & Entertainment,,
黑糖糕,Brown sugar cake,美食、伴手禮,Food & Beverages,Food & Beverages,
安睡褲,pajama pants,居家生活,Health & Beauty,Health & Beauty,Health & Beauty
大垃圾桶,Big trash can,居家生活,Home & Living,Home & Living,Home & Living
挫冰機,Ice crusher,居家生活,Home & Living,Home & Living,
冷氣補助申請,Air-conditioning subsidy application,家電影音,,,
安適得,Comfortable,寵物,Pets,Pets,Pets
黑妞黑糖糕,Black girl brown sugar cake,美食、伴手禮,Food & Beverages,Food & Beverages,
光合菌,photosynthetic bacteria,寵物,Pets,Pets,Pets
硝基漆,Nitrocellulose paint,居家生活,Life & Entertainment,Life & Entertainment,
adobe cc 破解,adobe cc crack,3C與筆電,Computers & Accessories,Books & Magazines,Books & Magazines
飛輪推薦,Flywheel recommended,戶外與運動用品,Sports & Outdoors,,
保養品收納,Skin care product storage,居家生活,Home & Living,Home & Living,Home & Living
雪鞋,snowshoes,戶外與運動用品,Sports & Outdoors,Shoes,Sports & Outdoors
按摩眼罩,Massage eye mask,家電影音,Health & Beauty,Home Electronic,Home Electronic
三星s23,Samsung s23,手機平板與周邊,Mobile & Gadgets,,
brabantia 垃圾桶,brabantia trash can,居家生活,Home & Living,Home & Living,
林襄寫真,Lin Xiang's photo,Others,Life & Entertainment,Life & Entertainment,
汽車遮陽傘,car sunshade,汽機車零件百貨,Motors,Motors,Motors
機車電瓶充電,Locomotive battery charging,汽機車零件百貨,Motors,Motors,Motors
印名片,Print business cards,服務、票券,Everything Else,Everything Else,Everything Else
暗黑4,Diablo 4,遊戲王,Life & Entertainment,Men's Apparel,
地龍酵素,Earthworm enzyme,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
低蛋白米,low protein rice,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
百岳登山用品,Baiyue mountain climbing supplies,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,
鱷魚肉,crocodile meat,美食、伴手禮,Food & Beverages,Food & Beverages,
韓國餅乾,Korean cookies,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
電流急急棒,Current rush rod,遊戲王,Mother & Baby,Life & Entertainment,Hardware & 3C
追劇神器,TV drama chasing tool,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
三星a54,Samsung a54,手機平板與周邊,,Mobile & Gadgets,
鞋撐,Shoe stretch,居家生活,Women Shoes,Women Shoes,Women Shoes
bialetti 摩卡壺,bialetti moka pot,居家生活,Home & Living,Home & Living,
鈦晶手排,Titanium crystal manual row,居家生活,Life & Entertainment,Life & Entertainment,
今治毛巾,Imabari towel,居家生活,Home & Living,Home & Living,Home & Living
呼吸燈,breathing light,家電影音,Motors,Home & Living,
蝦竿,shrimp rod,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
小米盒子國際版,Xiaomi box international version,家電影音,Home Electronic,Home Electronic,
東興冰棒,Dongxing Popsicle,美食、伴手禮,Home & Living,Food & Beverages,
dasique,dasique,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
受受狼,Shou Shou Wolf,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
提提研面膜,titiyan facial mask,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
保濕噴霧,moisturizing spray,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
矽膠片,Silicone film,居家生活,Home & Living,Health & Beauty,
全球詭異時代,Global weird era,書籍及文創商品,Hobbies & Collections,Hobbies & Collections,Books & Magazines
木下凛力子,Kinoshita Ririko,其他類別,Books & Magazines,Books & Magazines,Books & Magazines
鴕鳥蛋,Ostrich eggs,美食、伴手禮,Life & Entertainment,Everything Else,Everything Else
砂紙,sandpaper,居家生活,Home & Living,Home & Living,Home & Living
ogc株式會社,"ogc Co., Ltd.",其他類別,Everything Else,Everything Else,
a54 價格,a54 price,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
素食 點心,vegetarian snacks,美食、伴手禮,Food & Beverages,,
雞翅,chicken wings,美食、伴手禮,Food & Beverages,Food & Beverages,
平口小可愛,Cute little flat mouth,女生衣著,Women's Apparel,Women's Apparel,Women's Apparel
tirtir,tirtir,美妝保健,Health & Beauty,Health & Beauty,
小禮堂,chapel,娛樂、收藏,Home & Living,,
良杯,good cup,居家生活,Home & Living,Home & Living,
galaxy fold,galaxy fold,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
mmbcu 價格,mmbcu price,汽機車零件百貨,Motorcycles,Motorcycles,Motorcycles
12 pro max,12 promax,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
晴王葡萄,Qingwang Grape,美食、伴手禮,Food & Beverages,Food & Beverages,
苗栗伴手禮,Miaoli souvenirs,美食、伴手禮,Food & Beverages,,
南僑水晶肥皂,Nam Chiau Crystal Soap,居家生活,Health & Beauty,Home & Living,Health & Beauty
魯夫五檔,Rufu fifth gear,娛樂、收藏,Life & Entertainment,,
森澤佳奈,Morisawa Kana,娛樂、收藏,Everything Else,Everything Else,
祭拜祖先的食物,Food to worship ancestors,美食、伴手禮,,,
旭集訂位,Xuji reservation,服務、票券,"Tickets, Vouchers & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services"
蝦皮購物台灣,Shopee shopping Taiwan,Platform Terms ( Shopee / Momo),Women Clothes,Home & Living,Home & Living
磨泥器,Mud grinder,居家生活,Home & Living,Home & Living,
掛鏡,hanging mirror,居家生活,Home & Living,Home & Living,Home & Living
清明節要拜地基主嗎,Do we need to worship the foundation master during Qingming Festival?,居家生活,,,
庫洛米桌布,Kuromi tablecloth,手機平板與周邊,Home & Living,Home & Living,
折疊水桶,folding bucket,居家生活,Sports & Outdoors,Home & Living,Home & Living
nautica日本,nauticaJapan,男生衣著,Men's Apparel,Men's Apparel,
減糖黑糖磚推薦哪個,Which sugar-reducing brown sugar bricks are recommended?,美食、伴手禮,,,
dyson 吹風機 日本,dyson hair dryer japan,家電影音,Home Electronic,Home Electronic,
監控人,monitor,娛樂、收藏,Cameras & Drones,Home Appliances,Home Appliances
bosch go 3,bosch go 3,居家生活,Home & Living,Home & Living,
samsung a55價格,samsung a55 price,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
日立變頻冷氣,Hitachi inverter air conditioner,家電影音,Home Electronic,Home Electronic,
紅軸鍵盤,red axis keyboard,3C與筆電,Hardware & 3C,Hardware & 3C,Hardware & 3C
疲老闆,Tired boss,美食、伴手禮,Food & Beverages,Food & Beverages,
甜粽,Sweet rice dumpling,美食、伴手禮,Food & Beverages,Food & Beverages,
充氣泳池,inflatable swimming pool,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
兒童書桌推薦,Children's desk recommendations,居家生活,Home & Living,Home & Living,
vivo x100,vivox100,手機平板與周邊,Mobile & Gadgets,,
hbaf杏仁果,hbaf almond fruit,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
augur,augur,汽機車零件百貨,Men's Bags& Accessories,Men's Bags& Accessories,Women Bags
soundcore liberty 4 nc,soundcore liberty 4 nc,手機平板與周邊,Audio,Audio,Audio
v29,v29,手機平板與周邊,,Home Electronic,
griii,griii,3C與筆電,Hardware & 3C,Hardware & 3C,
雪肌粹bb霜,Sekki bb cream,美妝保健,,Health & Beauty,
粒線體保健食品,Mitochondrial health food,美妝保健,Health & Beauty,Food & Beverages,
bacha,Bacha,美食、伴手禮,Men's Apparel,,
頭戴式顯示器,head mounted display,手機平板與周邊,Hardware & 3C,Home Electronic,
情侶頭像,couple avatar,服務、票券,,Everything Else,
兄弟你好香,"Brother, you smell so good",書籍及文創商品,Mom & Baby,Hobbies & Collections,Hobbies & Collections
岩棉,rock wool,居家生活,Home & Living,Home & Living,
動漫a片,anime porn,其他類別,Everything Else,Everything Else,
魯斯佛,Rutherford,嬰幼童與母親,Life & Entertainment,Life & Entertainment,Women Bags
拉布布,Labubu,娛樂、收藏,Life & Entertainment,Life & Entertainment,
直角肩,right shoulder,女生衣著,Women's Apparel,Women's Apparel,
凱渡廣場酒店,Kaidu Plaza Hotel,服務、票券,"Tickets, Vouchers & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services"
備份豆腐,backup tofu,手機平板與周邊,Mobile & Gadgets,Hardware & 3C,Mobile & Gadgets
漱口杯,mouthwash cup,居家生活,Home & Living,Home & Living,Home & Living
偷偷藏不住漫畫,Secretly Can't Hide Comics,書籍及文創商品,Books & Magazines,Books & Magazines,Books & Magazines
韓國洞洞鞋,Korean Crocs,男女鞋,Men Shoes,Women Shoes,
炎上 意思,Yanshang means,Others,,,
molly公仔,molly doll,娛樂、收藏,Life & Entertainment,Life & Entertainment,
张津瑜,Zhang Jinyu,娛樂、收藏,Beauty,Books & Magazines,Books & Magazines
皮克敏4,Pikmin 4,遊戲王,Game Kingdom,Game Kingdom,
12強,Top 12,娛樂、收藏,Sports & Outdoors,Sports & Outdoors,
24吋螢幕,24-inch screen,3C與筆電,Hardware & 3C,Hardware & 3C,
3d口罩,3d mask,居家生活,Home & Living,Home & Living,
5g手機,5g mobile phone,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
amazfit 智慧運動手錶 2,amazfit smart sports watch 2,手機平板與周邊,Mobile & Gadgets,Hardware & 3C,
asus zenfone max pro m2,asus zenfone max pro m2,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
asus_z012da,asus_z012da,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
b450,b450,3C與筆電,Hardware & 3C,Hardware & 3C,
beyerdynamic,beyerdynamic,3C與筆電,Hardware & 3C,Hardware & 3C,
cpu風扇,cpu fan,3C與筆電,Hardware & 3C,Hardware & 3C,Hardware & 3C
epoxy,epoxy,居家生活,Home & Living,Home & Living,
ffp1,ffp1,居家生活,Home & Living,Home & Living,
g7x,g7x,3C與筆電,Hardware & 3C,Hardware & 3C,
gan,gan,手機平板與周邊,Life & Entertainment,Life & Entertainment,Life & Entertainment
gsx-r150,gsx-r150,汽機車零件百貨,Motors,Motors,
gtx 1050 ti,gtx 1050ti,3C與筆電,Hardware & 3C,Hardware & 3C,
i9 9900k,i9 9900k,3C與筆電,Hardware & 3C,Hardware & 3C,
iphone 11 pro 手機殼,iphone 11 pro mobile phone case,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
iroo,iroo,女生衣著,Women's Apparel,Women's Apparel,
isofix,isofix,嬰幼童與母親,Mother & Baby,Mother & Baby,Motors
kitty,kitty,娛樂、收藏,Home & Living,Home & Living,
legend walker,legend walker,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,
mk220,mk220,3C與筆電,Hardware & 3C,Hardware & 3C,Hardware & 3C
msi 筆電,msi laptop,3C與筆電,Hardware & 3C,Hardware & 3C,
my card,my card,遊戲王,Game Kingdom,Game Kingdom,Game Kingdom
nas 硬碟,nas hard drive,3C與筆電,Hardware & 3C,Hardware & 3C,
oa辦公桌,oa office desk,居家生活,Home & Living,Home & Living,
olaplex,olaplex,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
olay,olay,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
one漫畫,one comics,書籍及文創商品,,Books,
ptt帳號,ptt account,Others,Everything Else,,
pvc地板,pvc floor,居家生活,Home & Living,Home & Living,
sony xz2,sony xz2,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
sony 手機,sony mobile phone,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
sony 電視,sony tv,家電影音,Home Electronic,Home Electronic,
spectra x,spectra x,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
sugao,sugao,美妝保健,Health & Beauty,Health & Beauty,
u2718q,u2718q,3C與筆電,Hardware & 3C,Hardware & 3C,
vizio,vizio,家電影音,Home Electronic,Home Electronic,
woo 100,woo 100,汽機車零件百貨,Motors,Motors,
xs max,xsmax,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
七天鑑賞期,Seven days appreciation period,Others,Men Shoes,,
三星電子鎖,Samsung electronic lock,居家生活,Home & Living,Home & Living,
三玖耳機,Sanjiu headphones,3C與筆電,Mobile & Gadgets,Mobile & Gadgets,
乳膠手套,latex gloves,居家生活,Home & Living,Home & Living,Home & Living
二手重機,Used heavy machinery,汽機車零件百貨,Motors,Motors,
仁王,Nioh,遊戲王,Game Kingdom,Game Kingdom,
伊比利豬,Iberian pig,美食、伴手禮,Food & Beverages,Food & Beverages,
個人雲,personal cloud,3C與筆電,Hardware & 3C,Hardware & 3C,
偷拍,secretly photographed,3C與筆電,Hardware & 3C,Hardware & 3C,
傘,umbrella,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
充氣床,air bed,居家生活,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
免洗內褲,Disposable underwear,女生衣著,Women's Apparel,Women's Apparel,Women's Apparel
刮痧板,scraping board,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
動物之森,animal crossing,遊戲王,Game Kingdom,Game Kingdom,
吊扇,ceiling fan,家電影音,Home Electronic,Home & Living,Home Electronic
名片,business card,居家生活,Everything Else,Everything Else,
商用洗碗機,Commercial dishwasher,家電影音,Home Electronic,Home Electronic,
圈叉實驗室,Quancha Laboratory,其他類別,Everything Else,Everything Else,
大奶,big tits,其他類別,Women's Apparel,Everything Else,
太樂芬,Talofen,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
小雞麵,Chicken noodles,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
幼美肌,Beautiful skin,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
床,bed,居家生活,Home & Living,Home & Living,Home & Living
廚房系統櫃,kitchen system cabinet,居家生活,Home & Living,Home & Living,
微星筆電,MSI laptop,3C與筆電,Hardware & 3C,Hardware & 3C,
快速到貨,Fast arrival,Others,Home & Living,Women's Apparel,
手持吸塵器,Handheld vacuum cleaner,家電影音,Home Electronic,Home Electronic,Home Electronic
抹茶粉,matcha powder,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
捷克隕石,Czech meteorite,娛樂、收藏,Life & Entertainment,Life & Entertainment,Books
摩托車,motorcycle,汽機車零件百貨,Motors,Motors,
料理秤,cooking scale,家電影音,Home Electronic,Home Electronic,Home Electronic
普利珠,Prizul,汽機車零件百貨,Motors,Motors,Motors
曲奇餅,cookie,美食、伴手禮,Food & Beverages,Food & Beverages,
有村希,Arimura Nozomi,娛樂、收藏,Life & Entertainment,Life & Entertainment,
東方美人茶,Oriental beauty tea,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
棉紗手套,cotton gloves,居家生活,Home & Living,Home & Living,Home & Living
植睫材料批發,Wholesale of eyelash transplant materials,美妝保健,,,
氣炸鍋好用嗎,Is the air fryer useful?,家電影音,Home Appliances,Home Appliances,Home Appliances
水砂紙,water sandpaper,居家生活,Home & Living,Home & Living,Home & Living
水神,water god,居家生活,Home & Living,Home & Living,
泡腳桶,Foot bath bucket,家電影音,Home & Living,Home & Living,Home & Living
泳裝,swimsuit,戶外與運動用品,Women's Apparel,Women's Apparel,Women's Apparel
浪琴,Longines,女生配件,Men's Bags& Accessories,Men's Bags& Accessories,
浴缸,tub,居家生活,Home & Living,Home & Living,Home & Living
海葡萄,sea grapes,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
滑鼠,mouse,3C與筆電,Hardware & 3C,Hardware & 3C,Hardware & 3C
濾水器,water filter,居家生活,Home & Living,Home & Living,Home Electronic
無線吸塵器,cordless vacuum cleaner,家電影音,Home Electronic,Home Electronic,Home Electronic
玫瑰果油,rosehip oil,美妝保健,Health & Beauty,Health & Beauty,
珪藻土地墊,diatomaceous earth mat,居家生活,Home & Living,Home & Living,Home & Living
發電機,dynamo,居家生活,Home & Living,Home & Living,
相機腳架,camera tripod,3C與筆電,Hardware & 3C,Hardware & 3C,Hardware & 3C
米家電動打氣機,Mijia electric air pump,家電影音,Motors,Motors,Motors
紅包行情,Red envelope quotes,Others,Home & Living,,
素食年菜,vegetarian new year dishes,美食、伴手禮,Food & Beverages,Food & Beverages,
美國代購,American purchasing agent,女生包包/精品,Women Accessories,Women Bags,
肛塞,anal plug,其他類別,Everything Else,Everything Else,Everything Else
萊卡,Lycra,3C與筆電,Hardware & 3C,Health & Beauty,
葆葆,Baobao,娛樂、收藏,Health & Beauty,,
藤椅,rattan chair,居家生活,Home & Living,Home & Living,
西提餐卷,Xiti dinner roll,服務、票券,Tickets & Services,Tickets & Services,Tickets & Services
豬肉,pork,美食、伴手禮,Food & Beverages,Food & Beverages,
貓窩,cat nest,寵物,Pets,Pets,Pets
踏步機,stepper,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
輕鋼架,Light steel frame,居家生活,Home & Living,Home & Living,
轉筆,Turn pen,居家生活,Home & Living,Home & Living,Home & Living
進擊的巨人漫畫,Attack on Titan Comics,書籍及文創商品,Books,Books,Books
遊戲王,Yu-Gi-Oh!,遊戲王,Game Kingdom,Game Kingdom,
金安德森,Kim Anderson,女生包包/精品,Mother & Baby,Women's Apparel,
除濕機 推薦,Dehumidifier recommended,家電影音,,Home Electronic,
電腦椅子,computer chair,居家生活,Home & Living,Home & Living,Home & Living
電視棒,TV stick,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
韓式辣醬,Korean hot sauce,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
音源線,Audio cable,家電影音,Home Electronic,Home Electronic,Motors
餅乾,cookie,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
馬桶堵塞,clogged toilet,居家生活,Home & Living,Home & Living,Home & Living
鬼滅之刃 漫畫,Demon Slayer: Kimetsu no Yaiba manga,書籍及文創商品,Books,Books,Books
魚缸,fish tank,寵物,Home & Living,Home & Living,Pets
鮪魚罐頭,canned tuna,美食、伴手禮,Pets,Food & Beverages,Food & Beverages
麥當勞美樂蒂,McDonald's Melody,娛樂、收藏,Life & Entertainment,Life & Entertainment,
麻將桌,mahjong table,居家生活,Game Kingdom,Home & Living,Home & Living
黑水虻,black soldier fly,寵物,Pets,Pets,
點鈔機,Money counting machine,居家生活,Home & Living,Home & Living,Home & Living
美白乳液推薦,Whitening lotion recommendation,美妝保健,,Health & Beauty,
鬼滅之刃衣服,Demon Slayer clothes,娛樂、收藏,Men's Apparel,Men's Apparel,Men's Apparel
蝴蝶蘭,Phalaenopsis,居家生活,Home & Living,Home & Living,
特力屋網購,Teliwu online shopping,居家生活,,Home & Living,
比例尺,scale,居家生活,Home & Living,Home & Living,
空壓殼,Air pressure shell,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
彈珠檯,pinball machine,嬰幼童與母親,Life & Entertainment,Life & Entertainment,
亞立詩鑽戒,Aris diamond ring,女生配件,Women Accessories,Women Accessories,
寵物用品,pet supplies,寵物,Pets,Pets,Pets
momo口罩,momo mask,Platform Terms ( Shopee / Momo),Fashion Accessories,,
oster 果汁機,oster juice machine,居家生活,Home Electronic,Home Electronic,Home Electronic
凱莉包,Kelly bag,女生包包/精品,Women Bags,Women Bags,Women Bags
garmin 導航,garmin navigation,汽機車零件百貨,Motors,Motors,Motors
國際牌微波爐,International brand microwave oven,家電影音,Home Electronic,Home Electronic,
fossil手錶,fossil watch,女生配件,Men's Bags& Accessories,,
空氣清淨機honeywell,air purifier honeywell,家電影音,,Home Electronic,
卡西歐手錶,Casio watch,男生包包與配件,Men's Bags& Accessories,Men's Bags& Accessories,Women Accessories
韓國面膜,Korean facial mask,美妝保健,Health & Beauty,Health & Beauty,
眼影盤,eye shadow palette,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
太空包,space bag,居家生活,Pets,Pets,Pets
維多利亞的秘密,victoria secret,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
手工餅乾禮盒,Handmade cookie gift box,美食、伴手禮,Food & Beverages,Food & Beverages,
網路光纖線,Network fiber optic cable,3C與筆電,Hardware & 3C,Hardware & 3C,
casio手錶,casio watch,男生包包與配件,Men's Bags& Accessories,Men's Bags& Accessories,Women Accessories
潘婷洗髮精,pantene shampoo,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
抽屜收納櫃,Drawer storage cabinet,居家生活,Home & Living,Home & Living,Home & Living
直髮膏,hair straightening cream,美妝保健,Health & Beauty,Health & Beauty,Health & Beauty
訂婚禮服,engagement dress,女生衣著,Women's Apparel,Women's Apparel,
魔道祖師漫畫,Demonic Patriarch Comics,娛樂、收藏,Books,Women's Apparel,Life & Entertainment
159i,159i,Others,,Game Kingdom,
年菜推薦,Recommended New Year dishes,美食、伴手禮,Food & Beverages,Food & Beverages,
中秋烤肉,Mid-autumn barbecue,美食、伴手禮,Food & Beverages,Food & Beverages,
garmin 手錶,garmin watch,手機平板與周邊,Hardware & 3C,Hardware & 3C,
apple airpods pro,apple airpods pro,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
手游推薦,Mobile game recommendations,Others,,,
設計椅,design chair,居家生活,Home & Living,Home & Living,
essential 衣服,essential clothes,男生衣著,Men's Apparel,,
電腦 螢幕,computer screen,3C與筆電,Hardware & 3C,Hardware & 3C,
curry 8,Curry 8,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
國語週刊,Mandarin Weekly,書籍及文創商品,Books,Books,Life & Entertainment
安卓車機,Android car machine,汽機車零件百貨,Motors,Motors,
持久藥,long-lasting medicine,其他類別,Everything Else,Everything Else,Everything Else
vans 鞋子,vans shoes,戶外與運動用品,Women Shoes,Women Shoes,
香腸,sausage,美食、伴手禮,Food & Beverages,Food & Beverages,
kangaroos,kangaroos,男女鞋,Sports & Outdoors,Sports & Outdoors,
turtle beach,turtle beach,手機平板與周邊,Hardware & 3C,Game Kingdom,
nike 拖鞋,nike slippers,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
i12 pro max,i12 pro max,手機平板與周邊,Mobile & Gadgets,Mobile & Gadgets,
one 漫畫,one comic,書籍及文創商品,Books & Magazines,Men Clothes,Men Clothes
乳瑪琳,Malin,美食、伴手禮,Food & Beverages,Food & Beverages,
熊貓 優惠,Panda Offers,Others,Everything Else,,
機車 貼紙,motorcycle stickers,汽機車零件百貨,Motors,Motors,
solac 吹風機,solac hair dryer,家電影音,Home Electronic,Home Electronic,
ipad9,ipad9,手機平板與周邊,,Mobile & Gadgets,
kaloo,kaloo,嬰幼童與母親,Mother & Baby,Mother & Baby,
空氣清淨機推薦,Recommended air purifier,家電影音,Home Electronic,,
ikbc,ikbc,3C與筆電,Hardware & 3C,Hardware & 3C,
安博 盒子,ambo box,家電影音,Home Electronic,Home Electronic,
洗衣 球,laundry ball,居家生活,Home & Living,Home & Living,
唐吉軻 德,Don Quixote,娛樂、收藏,Food & Beverages,Food & Beverages,
valheim,valheim,遊戲王,Game Kingdom,Game Kingdom,Game Kingdom
魚子 醬,caviar sauce,美食、伴手禮,Food & Beverages,Food & Beverages,
呼吸 機,Ventilator,美妝保健,Health & Beauty,,
jets sr,jets sr,汽機車零件百貨,Motors,Motors,
伯朗咖啡,brown coffee,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
耳機 麥克風,Headphones Microphone,手機平板與周邊,Hardware & 3C,Hardware & 3C,
大谷 翔平,Ohtani Shohei,娛樂、收藏,Hobbies & Collections,Sports & Outdoors,Sports & Outdoors
婚禮 小物,wedding favors,Others,Home & Living,Home & Living,
甜心 卡,sweetheart card,服務、票券,"Tickets, Vouchers & Services",Hobbies & Collections,"Tickets, Vouchers & Services"
國慶煙火預約,National Day Fireworks Reservation,服務、票券,Hobbies & Collections,Hobbies & Collections,Hobbies & Collections
鐘錶 店,clock shop,男生包包與配件,Home & Living,Home & Living,Home & Living
魔物 獵人,monster hunter,遊戲王,Game Kingdom,Game Kingdom,
月光 變奏曲,moonlight variations,書籍及文創商品,Hobbies & Collections,Women Clothes,Women Clothes
喜帖設計,wedding invitation design,居家生活,Everything Else,Everything Else,
椰子 油,coconut oil,美食、伴手禮,Health & Beauty,Food & Beverages,
波士頓 龍蝦,boston lobster,美食、伴手禮,Food & Beverages,Food & Beverages,
水谷 隼,Mizutani Falcon,戶外與運動用品,Sports & Outdoors,Sports & Outdoors,Women Clothes
哈利波特口罩,harry potter mask,居家生活,Home & Living,Home & Living,
玉 荷包,jade purse,美食、伴手禮,Food & Beverages,Food & Beverages,Food & Beverages
芋頭 酥,taro crisp,美食、伴手禮,Food & Beverages,Food & Beverages,
按摩 椅 推薦,Massage chair recommended,家電影音,,,
隨身果汁機,portable juice machine,家電影音,Home Electronic,Home Electronic,Home Electronic
電 火鍋,electric hotpot,家電影音,Home Electronic,Home Electronic,
通 馬桶,Toilet,居家生活,,Home & Living,
數位 相機,digital camera,3C與筆電,Hardware & 3C,Hardware & 3C,
雷電 模擬 器,Lightning simulator,遊戲王,,,
大悲 咒,Great Compassion Curse,居家生活,,,
簽名 設計,signature design,書籍及文創商品,Everything Else,Life & Entertainment,
ps5 購買,ps5 purchase,遊戲王,Game Kingdom,Game Kingdom,
媽媽 禮服,mom dress,女生衣著,Women's Apparel,Women's Apparel,
空靈 鼓,ethereal drums,娛樂、收藏,Life & Entertainment,Life & Entertainment,
寵物 展,pet show,寵物,,Pets,
dyson 暖氣,dyson heating,家電影音,Home Electronic,Home Electronic,
遠東 百貨,far east department store,服務、票券,Shoes,Tickets & Services,
熱水器 電池,water heater battery,家電影音,Hardware & 3C,Home & Living,
健康 餐,healthy meal,美食、伴手禮,Food & Beverages,Food & Beverages,
電燈,electric light,居家生活,Home & Living,Home & Living,
gogoro 配件,gogoro accessories,汽機車零件百貨,Motors,Motors,Motors
原石,rough stone,娛樂、收藏,Life & Entertainment,Life & Entertainment,Life & Entertainment
辣椒 水,chili water,美食、伴手禮,Sports & Outdoors,Home & Living,Home & Living
