Keyword,en_Keyword,Category,imp_level1_category_1d,pv_level1_category_1d,order_level1_category_1d,sg_category
micas para termolaminar,micas for thermolaminating,Hogar y Vida,Stationery,Stationery,Stationery,
baño quimico,chemical bath,Hogar y Vida,Home & Living,,,
banderas lgbt,LGBT flags,Hogar y Vida,Home & Living,Jewelry & Watches,Jewelry & Watches,
patines niña,girl skates,Deportes y Fitness,Sports & Fitness,,,
amplificador guitarra electrica,electric guitar amplifier,Juguetes y Hobbies,Audio,Gaming & Consoles,Gaming & Consoles,
botines mujer,women's ankle boots,Calzado de Mujer,Women Shoes,Women Shoes,,
alexa,alexa,Electrodomésticos,Computing,Home & Living,,
generador,generator,Electrodomésticos,Home & Living,Home & Living,,
sodimac online,sodimac online,Others,,,,
zapatos de seguridad sodimac,sodimac safety shoes,Others,,,,
volcanita 15 mm,Volcanite 15 mm,Others,,,,
zapatos,shoes,Deportes y Fitness,Men Shoes,Women Shoes,,
robot aspiradora,robot vacuum cleaner,Electrónica,Home Appliance,Home Appliance,,
poleron mujer,women's sweatshirt,Ropa de Mujer,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
cafetera capsulas,capsule coffee maker,Hogar y Vida,,Home Appliance,,
sierra circular sodimac,sodimac circular saw,Others,,,,
porta bebe,baby carrier,Madre y Bebé,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
melamina sodimac,sodimac melamine,Others,,,,
pesas,weights,Deportes y Fitness,Sports & Fitness,Sports & Fitness,,
a52,a52,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
calvin klein one,calvin klein one,Belleza,Jewelry & Watches,,,
cyberday zapatillas mujer,cyberday women's sneakers,Others,,,,
tv 32 pulgadas smart tv,tv 32 inches smart tv,Electrónica,,,,
relojes hombre,men's watches,Joyas y Relojes,Jewelry & Watches,Jewelry & Watches,,
muebles terraza,terrace furniture,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
cinturones hombre,men's belts,Accesorios de Moda,Fashion Accessories,,,
chupete,pacifier,Madre y Bebé,Mom & Baby,Mom & Baby,,
maquina para hacer pastas,pasta making machine,Hogar y Vida,Home & Living,,,
plancha babyliss,babyliss straightener,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
zapatillas nike air,nike air sneakers,Calzado de Hombre,Men Shoes,Women Shoes,,
mesa de centro madera,wooden coffee table,Hogar y Vida,Home & Living,,,
malla,mesh,Hogar y Vida,Women Clothes,Women Clothes,,
casco bicicleta mujer,women's bicycle helmet,Deportes y Fitness,Sports & Outdoors,Sports & Outdoors,Automobiles,
bloques de vidrio,glass blocks,Hogar y Vida,Mom & Baby,Home & Living,Home & Living,
impresoras 3d,3d printers,Computación,Computing,Computing,,
persianas roller,roller blinds,Hogar y Vida,Home & Living,Automobiles,Automobiles,
versace pour homme,versace for men,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
puma zapatillas niña,puma girl sneakers,Calzado de Mujer,Baby & Kids Fashion,Baby & Kids Fashion,,
iphone 13 precio,iphone 13 price,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
perfume ralph lauren mujer,ralph lauren women's perfume,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
venta de container,container sale,Hogar y Vida,,,,
juego de ollas,set of pots,Hogar y Vida,,Home & Living,,
pikachu,pikachu,Juguetes y Hobbies,,Toys & Hobbies,,
depiladora facial,facial epilator,Belleza,Beauty,Beauty,,
camillas para masajes,massage tables,Salud,Home & Living,Home & Living,Home & Living,Home & Living
pop it among us,pop it among us,Juguetes y Hobbies,Toys & Hobbies,Toys & Hobbies,,
masilla para autos,car putty,Accesorios para Vehículos,Automobiles,Hobbies & Collections,,
botines de seguridad mujer,women's safety boots,Calzado de Mujer,Men Shoes,Men Shoes,,
servilletero,napkin ring,Hogar y Vida,Home & Living,,,
xbox serie s,xbox series s,Videojuegos,Mobile & Gadgets,Video Games,,
regalos para hombre,gifts for men,Others,Jewelry & Watches,Jewelry & Watches,,
cajoneras plasticas,plastic drawers,Hogar y Vida,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
maquina pop corn,popcorn machine,Electrodomésticos,Home & Living,Home Appliances,Home Appliances,
camara canon,Canon camera,Electrónica,Electronics,,,
colchón inflable,inflatable mattress,Deportes y Fitness,Sports & Fitness,Sports & Fitness,,
ropa interior,underwear,Ropa de Mujer,Women Clothes,Women Clothes,,
reloj tissot,tissot watch,Joyas y Relojes,Jewelry & Watches,Jewelry & Watches,Jewelry & Watches,
kit de cocina,kitchen kit,Hogar y Vida,,Home & Living,,
homecenter ovalle,homecenter ovalle,Others,,,,
vestido fiesta,party dress,Ropa de Mujer,Women Clothes,Women Clothes,,
pantallas para pc,pc screens,Computación,Computing,,,
incasil,incasil,Salud,,,,
barra para dominadas,pull-up bar,Deportes y Fitness,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
arriendo departamento con estacionamiento,Apartment for rent with parking,Hogar y Vida,,,,
super mario 3d all stars,super mario 3d all stars,Videojuegos,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles,
hornos a leña,wood-fired ovens,Hogar y Vida,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
decolorante de pelo,hair bleach,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
cicatricure manchas,scarring spots,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
repisa escalera,ladder ledge,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
casas modulares chile,modular homes chile,Hogar y Vida,,,,
samsung a51 precio,samsung a51 price,Celulares y Gadgets,,,,
chaqueta de moto,motorcycle jacket,Accesorios para Vehículos,Sports & Fitness,Sports & Fitness,,
samsung flip,samsung flip,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
calzas niñas,girls tights,Madre y Bebé,Baby & Kids Fashion,,,
apology,apology,Ropa de Mujer,,,,
freidora de aire philips,philips air fryer,Electrodomésticos,Home Appliances,Home & Living,Home & Living,
dior perfume,dior perfume,Belleza,Mobile & Gadgets,,,
gameboy advance,gameboy advance,Videojuegos,,Video Games,,
205 55 r16,205 55 r16,Accesorios para Vehículos,,,,
toldo 2x2,2x2 awning,Hogar y Vida,Home & Living,,,
cabañas en el quisco,cabins in the kiosk,Hogar y Vida,,,,
calefactor a gas,gas heater,Electrodomésticos,Motorcycles,Motorcycles,Motorcycles,
deck,deck,Hogar y Vida,Toys & Hobbies,Toys & Hobbies,,
bandera,flag,Hogar y Vida,,Home & Living,,
vestidos fiesta patronato,patronage party dresses,Ropa de Mujer,,,,
mandalas para colorear,mandalas for coloring,Libros y Revistas,,Stationery,,
escoba electrica,electric broom,Electrodomésticos,Home & Living,Sports & Outdoors,Sports & Outdoors,
burton chile,burton chile,Ropa de Hombre,,,,
erogan,erogan,Deportes y Fitness,,,,
abrigo hombre largo,long men's coat,Ropa de Hombre,Men Clothes,Men Clothes,Men Clothes,Men's Wear
food truck chile,food truck chile,Others,,,,
silla para bañar adulto mayor,bath chair for elderly people,Hogar y Vida,,,,
estufa eléctrica chimenea,electric stove fireplace,Electrodomésticos,Home & Living,Home Appliances,Home Appliances,
nekane,nekane,Hogar y Vida,Women Shoes,Women Shoes,Women Shoes,Women's Shoes
liga chilena,Chilean League,Deportes y Fitness,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
wii u,wii u,Videojuegos,Video Games,Video Games,,
vasos starbucks,starbucks cups,Hogar y Vida,Home & Living,Home & Living,,
arriendo de casas,house rentals,Hogar y Vida,,,,
video portero,video intercom,Hogar y Vida,Home & Living,Home & Living,,
terrenos en venta sur de chile,land for sale south of chile,Hogar y Vida,,,,
regalos originales para mujeres,original gifts for women,Others,,,,
shorts deportivos hombre,men's sports shorts,Ropa de Hombre,Men Clothes,Men Clothes,,
salamandras,salamanders,Electrodomésticos,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
1660 super,1660 super,Juguetes y Hobbies,Computing,,,
melody y kuromi,melody and kuromi,Juguetes y Hobbies,Mobile & Gadgets,,,
quinchos,barbecue areas,Hogar y Vida,Home & Living,Home Appliances,Home Appliances,
catres clinicos,clinical cots,Salud,,,,
manhwa,manhwa,Juguetes y Hobbies,Mobile & Gadgets,Mobile & Gadgets,Men Clothes,
carpa para 4 personas,4 person tent,Deportes y Fitness,Sports & Fitness,Sports & Fitness,,
laminas del mundial,World Cup posters,Juguetes y Hobbies,,Hobbies & Collections,Mom & Baby,
perro poodle,poodle dog,Mascotas,,Pets,,
radio con pantalla para auto,car radio with screen,Electrónica,Vehicle Accessories,Vehicle Accessories,,
piscina fibra de vidrio,fiberglass pool,Hogar y Vida,Home & Living,,,
pelucas,wigs,Juguetes y Hobbies,Fashion Accessories,Fashion Accessories,Fashion Accessories,Jewellery & Accessories
bolsos nike,nike bags,Bolsas de Hombre,Women Bags,-,Women Bags,
mochila spiderman,spiderman backpack,Juguetes y Hobbies,Mom & Baby,Mom & Baby,,
pilas,batteries,Electrodomésticos,Home & Living,Beauty,,
depiladora.de.cristal,glass.epilator,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
catnio,catnium,Others,,,,
lapiz tablet samsung,Samsung tablet pen,Celulares y Gadgets,Computing,Mobile & Gadgets,,
pitajalla,pitajalla,Alimentos y Bebidas,,,,
piso plastico,plastic floor,Hogar y Vida,Home & Living,,,
silla y mesa plegable,folding chair and table,Hogar y Vida,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
cerave retinol,cerave retinol,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
mascara de pestañas transparente,clear mascara,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
falda largas mujer,long skirts for women,Ropa de Mujer,Women Clothes,Women Clothes,Muslim Fashion,
estetoscopio precio,stethoscope price,Salud,,,,
baterias externas,external batteries,Accesorios para Vehículos,Mobile & Gadgets,Mobile & Gadgets,,
remate de ceramicas,ceramic auction,Hogar y Vida,,,,
quita pelusas,lint remover,Hogar y Vida,Home & Living,,,
moldes para resina,resin molds,Juguetes y Hobbies,Toys & Hobbies,Home & Living,,
brazo hidraulico para puerta,hydraulic arm for door,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
vestido invierno,winter dress,Ropa de Mujer,Women Clothes,Women Clothes,,
tv 24 pulgadas,24 inch tv,Electrodomésticos,Electronics,,,
isabella modas,isabella fashions,Madre y Bebé,,,,
neumatico 195 65 r15,tire 195 65 r15,Accesorios para Vehículos,,,,
chaqueta leñadora hombre,men's lumberjack jacket,Ropa de Hombre,Men Clothes,Men Clothes,Men Clothes,Men's Wear
alfajores argentinos,Argentine alfajores,Hogar y Vida,,,,
maquina para hacer alfombras,carpet making machine,Hogar y Vida,Home Appliances,Home & Living,Home & Living,
heels,heels,Hogar y Vida,Women Shoes,,,
el rastro.cl,the trail.cl,Hogar y Vida,,,,
mesas y sillas para restaurante,tables and chairs for restaurants,Hogar y Vida,Home & Living,Automobiles,Automobiles,
platos melamina,melamine plates,Hogar y Vida,Home & Living,,,
tresemme,tresemme,Hogar y Vida,Beauty,Beauty,Beauty,Beauty & Personal Care
caballete,easel,Hogar y Vida,Home & Living,,,
kit grabado de patentes,patent engraving kit,Electrónica,Automobiles,Automobiles,Automobiles,Automotive
forogore,forogore,Videojuegos,,,,
cosmetiquero bubba,bubba cosmetic bag,Belleza,Women Bags,Women Bags,Women Bags,Women's Bags
labiales nivea,nivea lipsticks,Hogar y Vida,Beauty,Beauty,Beauty,Beauty & Personal Care
tumbler,tumbler,Hogar y Vida,Home & Living,-,,
maquina de boxeo,boxing machine,Deportes y Fitness,Gaming & Consoles,Gaming & Consoles,Gaming & Consoles,
planificador mensual,monthly planner,Papelería,Stationery,,,
dercos anticaspa,dercos anti-dandruff,Hogar y Vida,Beauty,Beauty,Beauty,Beauty & Personal Care
cuadernos hello kitty,hello kitty notebooks,Accesorios de Moda,Stationery,Stationery,Stationery,
ternurin,ternurin,Hogar y Vida,Hobbies & Collections,Beauty,Beauty,
grelix precio,grelix price,Others,,,,
barbie vaquera,cowgirl barbie,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
cartera bimba y lola,bimba and lola wallet,Bolsas de Mujer,Women Bags,,,
limpia pipa,pipe cleaner,Hogar y Vida,Toys & Hobbies,,,
sharklas,sharklas,Calzado de Mujer,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
mundojuegos,worldgames,Videojuegos,,,,
rosalba muñeca,Rosalba doll,Juguetes y Hobbies,Mom & Baby,Mom & Baby,Mom & Baby,"Toys, Kids & Babies"
ondas de sirena,mermaid waves,Belleza,Fashion Accessories,Beauty,Home & Living,
gloss dior,Dior gloss,Belleza,Beauty,Beauty,Women Bags,
blazer sin manga mujer,women's sleeveless blazer,Ropa de Mujer,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
attack shark x3,attack shark x3,Computación,Computers & Accessories,Computers & Accessories,Mobile & Gadgets,
xiaomi 13 pro,xiaomi 13 pro,Celulares y Gadgets,Audio,Audio,Mobile & Gadgets,
mochila con ruedas,backpack with wheels,Madre y Bebé,Sports & Fitness,Travel & Luggage,,
mini proyector portatil,mini portable projector,Electrodomésticos,Stationery,Computing,,
pizarra blanca,white board,Papelería,Stationery,Stationery,,
cortinas blackout,blackout curtains,Hogar y Vida,Home & Living,Home & Living,,
cepillo secador,hair dryer brush,Belleza,Beauty,Beauty,,
extractor de leche,breast pump,Madre y Bebé,Mom & Baby,Mom & Baby,,
cutter,cutter,Papelería,Home & Living,,,
baston retractil,retractable stick,Deportes y Fitness,Sports & Fitness,Toys & Hobbies,,
juego inflable,inflatable game,Madre y Bebé,Toys & Hobbies,,,
colgador de ropa,clothes hanger,Hogar y Vida,Home & Living,,,
go kart,go kart,Accesorios para Vehículos,Vehicle Accessories,Vehicle Accessories,,
rieles para cajones,drawer slides,Hogar y Vida,,Home & Living,,
camara para auto,car camera,Accesorios para Vehículos,Vehicle Accessories,Vehicle Accessories,,
manillas para muebles,furniture handles,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
mascarillas kn95 certificadas,certified kn95 masks,Salud,Health,Fashion Accessories,Fashion Accessories,
acrilico,acrylic,Hogar y Vida,Toys & Hobbies,Home & Living,,
disco de corte 4 1/2,cutting disc 4 1/2,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
triciclo electrico,electric tricycle,Accesorios para Vehículos,Vehicle Accessories,,,
chaqueta moto,motorcycle jacket,Ropa de Hombre,Sports & Fitness,Women Clothes,,
fox terrier,fox terrier,Mascotas,Home & Living,,,
cyber monday 2021,cyber monday 2021,Others,,,,
reloj beike,beike watch,Joyas y Relojes,Watches,Watches,Watches,
volante ps4,ps4 steering wheel,Videojuegos,Video Games,Video Games,,
thermo,thermo,Hogar y Vida,Home & Living,,,
nezuko kawaii,kawaii nezuko,Juguetes y Hobbies,Mom & Baby,Hobbies & Collections,Stationery,
olaplex,olaplex,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
hyperx quadcast,hyperx quadcast,Electrónica,Sports & Fitness,,,
carnet de movilidad,mobility card,Papelería,,,,
motor spiedo,spit engine,Hogar y Vida,Home Appliances,Home & Living,Home & Living,
parlante bose,bose speaker,Electrónica,Electronics,,,
ampolletas,ampoules,Hogar y Vida,Home & Living,,,
manos libres bluetooth,bluetooth hands free,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
plumones posca,posca markers,Papelería,Stationery,Stationery,Stationery,
cepilladora de banco dewalt,dewalt bench planer,Hogar y Vida,,,,
termo electrico 80 litros,80 litre electric water heater,Electrodomésticos,,,,
laminas termolaminar,thermolaminar sheets,Papelería,Stationery,Stationery,Stationery,
redmi note 10 pro,redmi note 10 pro,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
cuadros decorativos para living,decorative paintings for living room,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
aros de oro para bebe,gold hoops for baby,Joyas y Relojes,Mom & Baby,Baby & Kids Fashion,Mom & Baby,
atornillador de impacto,impact driver,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
autos antiguos,vintage cars,Hogar y Vida,,Vehicle Accessories,,
poleron hombre,men's sweatshirt,Ropa de Hombre,Men Clothes,Men Clothes,,
duendes mágicos 2022,magical elves 2022,Juguetes y Hobbies,,,,
fajas colombianas,Colombian girdles,Ropa de Mujer,Women Clothes,Women Clothes,,
mesa de centro vidrio,glass coffee table,Hogar y Vida,,,,
radio de auto,car radio,Accesorios para Vehículos,,Vehicle Accessories,,
escritorio vidrio,glass desk,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
baranda cama,bed rail,Madre y Bebé,Automobiles,Automobiles,Automobiles,Automotive
mueble bar,bar furniture,Hogar y Vida,Home & Living,,,
refrigerador 2 puertas,2 door refrigerator,Electrodomésticos,Home & Living,Toys & Hobbies,,
juguetes de luca,luca's toys,Juguetes y Hobbies,Toys & Hobbies,,,
tom ford perfume,tom ford perfume,Belleza,,Beauty,Beauty,
abrapalabra,abrapalabra,Juguetes y Hobbies,,,,
zapatillas blancas,white sneakers,Calzado de Mujer,Men Shoes,Men Shoes,,
alerones para autos,spoilers for cars,Accesorios para Vehículos,Vehicle Accessories,Vehicle Accessories,,
calzas push up,push up leggings,Ropa de Mujer,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
libreros de madera,wooden bookcases,Hogar y Vida,Home & Living,Home & Living,Home & Living,Home & Living
paneles acusticos,acoustic panels,Electrónica,Home & Living,Home & Living,,
escorts antofagasta,escorts antofagasta,Accesorios para Vehículos,,,,
brazo para microfono,microphone arm,Electrónica,Electronics,Mobile & Gadgets,,
cargador iphone 13,iphone 13 charger,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
botas con chiporro,boots with chiporro,Calzado de Mujer,Women Shoes,Women Shoes,Women Shoes,Women's Shoes
pistola fogueo,blank firing pistol,Deportes y Fitness,Home & Living,Home & Living,Home & Living,Home & Living
cubre asientos para autos,car seat covers,Accesorios para Vehículos,Vehicle Accessories,Vehicle Accessories,,
router huawei,huawei router,Computación,Computing,Electronics,,
soporte bicicleta,bike stand,Deportes y Fitness,,Sports & Fitness,,
cepillo secador revlon,revlon hairdryer brush,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
smartphones,smartphones,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
ventana aluminio sodimac,Sodimac aluminum window,Hogar y Vida,,,,
martina,Martina,Ropa de Hombre,Mobile & Gadgets,,,
perfiles de aluminio sodimac,sodimac aluminum profiles,Hogar y Vida,,,,
sodimac planchas de zinc,sodimac zinc plates,Hogar y Vida,,,,
zapatillas running,running shoes,Deportes y Fitness,Men Shoes,Sports & Fitness,,
sandalias americanino,American sandals,Calzado de Mujer,Women Shoes,Men Shoes,Men Shoes,
sodimac papel mural,sodimac wallpaper,Hogar y Vida,,,,
the body shop,the body shop,Belleza,Fashion Accessories,Fashion Accessories,Fashion Accessories,Jewellery & Accessories
vajilla 30 piezas,30 piece dinnerware set,Hogar y Vida,Home & Living,,,
maquina hielo,ice machine,Electrodomésticos,Home & Living,,,
tragaluz sodimac,sodimac skylight,Hogar y Vida,,,,
8420122,8420122,Hogar y Vida,,,,
mancuernas sodimac,sodimac dumbbells,Deportes y Fitness,,,,
silla gamer,gaming chair,Computación,Home & Living,Home & Living,,
mercadolibre.cl,mercadolibre.cl,Platform Terms (Mercado/Shopee),,,,Platform Terms (Lazada / Shopee)
boyero de berna precio,bernese mountain dog price,Mascotas,,,,
bandejas plasticas,plastic trays,Hogar y Vida,Home & Living,,,
buzo completo hombre,full man diver,Deportes y Fitness,Watches,Watches,Watches,
bodegas de jardin usadas,used garden cellars,Hogar y Vida,,,,
mochila notebook mujer,women's notebook backpack,Bolsas de Mujer,Computing,Women Bags,,
frutos secos,nuts,Alimentos y Bebidas,Home & Living,,,
cortadora de plasma,plasma cutter,Hogar y Vida,,Home & Living,,
wader de pesca,fishing wader,Deportes y Fitness,Sports & Fitness,,,
dispensador de jabon liquido,liquid soap dispenser,Hogar y Vida,,Home & Living,,
revolvedor de mezcla,mixing stirrer,Hogar y Vida,,,,
sybilla,sybilla,Ropa de Mujer,Mobile & Gadgets,,,
comedor,dining room,Hogar y Vida,,Home & Living,,
camas king,king beds,Hogar y Vida,,Home & Living,,
porcelanato sodimac,sodimac porcelain,Others,,,,
rack tv sodimac,sodimac tv rack,Others,,,,
licuadora,blender,Electrodomésticos,Home Appliance,Home & Living,,
teja asfaltica sodimac,Sodimac asphalt shingles,Others,,,,
chaqueta de cuero,leather jacket,Ropa de Mujer,Men Clothes,Men Clothes,,
computadores,computers,Computación,Computing,,,
plancha de melamina,melamine board,Others,Home Appliances,Home Appliances,Home Appliances,Home Appliances
mejores ofertas cyberday,best cyberday deals,Others,,,,
deshumidificador sodimac,sodimac dehumidifier,Others,,,,
campanas de cocina,kitchen hoods,Hogar y Vida,Home & Living,,,
persianas sodimac,sodimac blinds,Others,,,,
lentes de sol hombre,men's sunglasses,Accesorios de Moda,Fashion Accessories,Fashion Accessories,Fashion Accessories,Jewellery & Accessories
sodimac pto montt,sodimac pto montt,Others,,,,
puertas exterior sodimac,sodimac exterior doors,Others,,,,
oxford,oxford,Deportes y Fitness,Women Bags,Pets,,
taladro sodimac,sodimac drill,Others,,,,
sillones en oferta,armchairs on sale,Hogar y Vida,,,,
jeans mom mujer,women's mom jeans,Ropa de Mujer,Women Clothes,,,
plumon de plumas 2 plazas,2-seater feather duvet,Hogar y Vida,,,,
polines sodimac,sodimac logs,Others,,,,
aislante acustico sodimac,sodimac acoustic insulation,Hogar y Vida,,,,
teléfonos samsung,samsung phones,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
cicatricure,scarring,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
puertas en sodimac,doors in sodimac,Others,,,,
caballete sodimac,sodimac easel,Others,,,,
audifonos bluetooth jbl,jbl bluetooth headphones,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
fondo blanco,white background,Electrónica,Cameras & Drones,Cameras & Drones,,
sostenes maternales,maternity bras,Madre y Bebé,Women Clothes,Women Clothes,Mom & Baby,
samsung s20 fe,samsung s20 fe,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets,Mobile & Gadgets
repelente para ratones,mouse repellent,Hogar y Vida,Home & Living,,,
rig de mineria,mining rig,Computación,Computing,,,
gtx 1050 ti,gtx 1050 ti,Computación,Computing,,,
lavadora pequeña,small washing machine,Electrodomésticos,Home & Living,Stationery,,
lavapelo,hair wash,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
faja postparto,postpartum girdle,Ropa de Mujer,Women Clothes,Women Clothes,,
lonchera termica,thermal lunch box,Hogar y Vida,Home & Living,Home & Living,,
perro beagle,beagle dog,Mascotas,Pets,Automobiles,Automobiles,
ropa por mayor,wholesale clothing,Ropa de Hombre,Women Clothes,Women Clothes,,
chalecos mujer patronato,Women's vests patronage,Ropa de Mujer,,,,
yogurtera,yogurt maker,Electrodomésticos,Home Appliances,Home Appliances,Home Appliances,Home Appliances
parlantes pioneer,pioneer speakers,Accesorios para Vehículos,Automobiles,Automobiles,Automobiles,Automotive
samsung z flip 3,samsung z flip 3,Celulares y Gadgets,Mobile & Gadgets,,,
audifonos para sordera,hearing aids for deafness,Salud,Mobile & Gadgets,Health,,
fermodyl,fermodyl,Belleza,,,,
disco duro 2tb,2TB hard drive,Computación,Computing,Computing,,
huawei mate 40 pro,huawei mate 40 pro,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
pastor alemán,German Shepherd,Mascotas,Pets,,,
sodimac sucursales,sodimac branches,Others,,,,
polly pocket juguetes,polly pocket toys,Juguetes y Hobbies,Mom & Baby,Hobbies & Collections,Hobbies & Collections,
adoquines de piedra,stone pavers,Hogar y Vida,Men Clothes,Pets,Pets,
brujula,compass,Deportes y Fitness,Stationery,Sports & Fitness,,
mochila national geographic,national geographic backpack,Deportes y Fitness,Video Games,,,
operando,operating,Juguetes y Hobbies,Vehicle Accessories,,,
derecho de llaves,key money,Hogar y Vida,,,,
brazer,brazer,Ropa de Hombre,Fashion Accessories,,,
purina one gatos,purina one cats,Mascotas,,,,
matizador violeta,violet toner,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
furet,furet,Hogar y Vida,,,,
padre rico padre pobre,rich dad poor dad,Libros y Revistas,Stationery,Stationery,Stationery,
picuki,picuki,Hogar y Vida,,,,
aceite de linaza,linseed oil,Papelería,Mom & Baby,,,
comic loki,loki comic,Juguetes y Hobbies,,,,
escritorios easy,easy desks,Hogar y Vida,,,,
pistola airsoft,airsoft gun,Deportes y Fitness,Sports & Fitness,Sports & Fitness,,
demogorgon,demogorgon,Juguetes y Hobbies,Toys & Hobbies,,,
limpia contactos,clean contacts,Hogar y Vida,Fashion Accessories,Home & Living,Home & Living,
total crunch,total crunch,Hogar y Vida,Mobile & Gadgets,,,
chalada,crazy,Hogar y Vida,Women Clothes,Women Clothes,Women Clothes,Women's Apparel
portal inmobiliario,real estate portal,Hogar y Vida,,,,
cabañas maitencillo,Maitencillo cabins,Hogar y Vida,,,,
mochila north face,north face backpack,Bolsas de Hombre,Men Bags,Women Bags,,
set de camping,camping set,Deportes y Fitness,Home & Living,Sports & Fitness,,
conectores rj45,rj45 connectors,Computación,Computing,Home & Living,,
candados para bicicletas,bicycle locks,Accesorios para Vehículos,Sports & Outdoors,Sports & Outdoors,Home & Living,
puff sillón,puff chair,Hogar y Vida,Sports & Outdoors,Home & Living,Home & Living,
vans knu skool,vans knu skool,Calzado de Mujer,Men Shoes,Men Shoes,Men Shoes,
batería portatil,portable battery,Celulares y Gadgets,Home & Living,Mobile & Gadgets,,
polvo texturizador,texturizing powder,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
carpas inflable,inflatable tents,Hogar y Vida,Sports & Outdoors,Mom & Baby,Mom & Baby,
pica hielo,ice pick,Alimentos y Bebidas,Women Clothes,,,
listerine whitening extreme,listerine whitening extreme,Belleza,,,,
parachutes pants,parachute pants,Ropa de Hombre,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors,Sports & Outdoors
pegamento de pestañas,eyelash glue,Belleza,Beauty,Beauty,,
polera.messi,messi.shirt,deportes y Fitness,,,,
estuches para lapices,pencil cases,Papelería,Stationery,Stationery,,
calculadora cientifica casio,casio scientific calculator,Computación,Stationery,,,
natura desodorantes,nature deodorants,Belleza,Beauty,Beauty,Beauty,Beauty & Personal Care
anillo antiestres,anti-stress ring,Accesorios de Moda,Jewelry & Watches,Jewelry & Watches,,
violincelo,violino,Juguetes y Hobbies,,,,
clear,clear,Others,Mobile & Gadgets,,,
cubrepiso por metro,floor covering per meter,Hogar y Vida,,,,
trajes de baño mujer short,women's short swimsuits,Ropa de Mujer,Sports & Outdoors,Sports & Outdoors,Women Clothes,
paraguas copec,copec umbrella,Papelería,,,,
audífonos kz,kz headphones,Celulares y Gadgets,Mobile & Gadgets,,,
carcasas iphone 13,iphone 13 cases,Celulares y Gadgets,Mobile & Gadgets,Mobile & Gadgets,,
colegialas en accion,schoolgirls in action,Hogar y Vida,,,,
chaquetas de cuero argentinas en chile,Argentine leather jackets in Chile,Ropa de Hombre,,,,
piso flotante remate,floating floor finish,Hogar y Vida,,,,
termo eléctrico 50 litros,50 litre electric water heater,Electrodomésticos,,,,
