"keyword","category","imp_level1_category_1d","pv_level1_category_1d","order_level1_category_1d"
"bicycle brake pad","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"transparent underwear","Men's Wear","Women's Apparel","Miscellaneous",
"cakes promotion","Food & Beverages",,"Food & Beverages",
"display glass cabinet singapore","Home & Living","Home & Living","Home & Living","Home & Living"
"men g string","Men's Wear","Men's Wear","Men's Wear",
"display glass cabinet singapore","Home & Living","Home & Living","Home & Living","Home & Living"
"stand alone stove","Home Appliances",,"Home & Living",
"pikes bicycle","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"ipanema","Women's Shoes","Women's Shoes","Women's Shoes","Women's Shoes"
"film disposable camera","Cameras & Drones","Cameras & Drones","Cameras & Drones",
"new moon bird nest with white fungus","Health & Wellness","Food & Beverages","Food & Beverages",
"sofa floor","Home & Living","Home & Living","Home & Living",
"lomo cards","Hobbies & Books","Hobbies & Books","Hobbies & Books",
"cycle jersey singapore","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors","Stationery"
"relaxing chair","Home & Living","Home & Living","Home & Living",
"pool float","Sports & Outdoors","Hobbies & Books",,"Hobbies & Books"
"allan key set","Home & Living","Automotive","Home & Living",
"varmilo","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals",
"micro fibre towel","Home & Living","Home & Living",,
"relax chairs","Home & Living","Home & Living","Home & Living",
"yoga short","Women's Apparel","Sports & Outdoors","Women's Apparel","Women's Apparel"
"laptop foldable table","Home & Living","Home & Living","Home & Living",
"fruit blender","Home Appliances","Home Appliances","Home Appliances",
"kpopmerch","Hobbies & Books","Hobbies & Books",,
"coffee table foldable","Home & Living","Home & Living","Home & Living",
"book stand","Home & Living","Home & Living","Home & Living","Home & Living"
"xiaomi washing machine","Home Appliances","Home Appliances","Home Appliances",
"remax earphones","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets",
"kate spade card holder","Jewellery & Accessories","Women's Bags","Women's Bags",
"everdesk","Home & Living","Automotive",,
"pocky","Food & Beverages","Food & Beverages","Food & Beverages",
"eegotune","Home & Living","Home & Living",,
"coffee","Food & Beverages","Food & Beverages","Food & Beverages","Food & Beverages"
"water filter tap","Home Appliances","Home & Living","Home & Living","Home & Living"
"kettle delonghi","Home Appliances","Home Appliances",,
"terrascapes","Home & Living","Home & Living","Home & Living",
"neacafe gold","Food & Beverages","-",,
"shoe stretcher","Women's Shoes","Women's Shoes","Women's Shoes",
"half boil egg maker","Home & Living","Home & Living","Home & Living",
"plumber snake","Home & Living","Home & Living",,
"bed sheet single size","Home & Living","Home & Living",,
"light mirror","Home & Living","Beauty & Personal Care","Beauty & Personal Care",
"starbucks matcha latte","Food & Beverages","Food & Beverages","Food & Beverages",
"electronic lock for door","Home & Living","Home & Living","Home & Living",
"water in glass bottles","Food & Beverages",,"Home & Living",
"futsal shoe","Men's Shoes","Sports & Outdoors","Sports & Outdoors",
"terrascapes","Home & Living","Home & Living","Home & Living",
"grabcard","Others","Dining, Travel & Services",,
"quick release pedals","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"marshall earbuds","Mobile & Gadgets","Mobile & Gadgets","Home & Living",
"ice dispenser fridge","Home Appliances","Home Appliances",,
"light mirror","Home & Living","Beauty & Personal Care","Beauty & Personal Care",
"12 volt battery","Mobile & Gadgets","Home & Living","Toys, Kids & Babies",
"decaf coffee singapore","Food & Beverages","Food & Beverages","Food & Beverages","Food & Beverages"
"infrared lamp","Home & Living","Home & Living","Beauty & Personal Care",
"kiwi shoe polish","Women's Shoes","Men's Shoes","Men's Shoes",
"jk168","Mobile & Gadgets",,,
"cute keychain","Jewellery & Accessories","Jewellery & Accessories","Jewellery & Accessories",
"reverse camera for car","Automotive","Automotive","Automotive",
"men in thongs","Men's Wear",,,
"candle jars","Home & Living","Home & Living",,
"club","Lifestyle","Beauty & Personal Care","Beauty & Personal Care",
"air blower gun","Home & Living","Home Appliances","Home Appliances",
"electric pans","Home Appliances","Home Appliances",,
"dropoff point","Platform Terms (Lazada / Shopee)","Stationery","Beauty","Beauty"
"dr scholl compression socks","Men's Shoes","Women's Apparel","Women's Apparel",
"slime singapore","Toys, Kids & Babies","Hobbies & Books",,
"wheel clamps","Automotive","Automotive","Automotive","Automotive"
"lighted mirror","Home & Living","Beauty & Personal Care","Beauty & Personal Care",
"9 9 sale","Platform Terms (Lazada / Shopee)","Home & Living","Beauty & Personal Care",
"teepee tent","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
"doggie doors","Pet Food & Supplies","Pets","Pets","Automobiles"
"ibc rootbeer","Food & Beverages",,"Food & Beverages",
"6v battery","Mobile & Gadgets","Mobile & Gadgets","Toys, Kids & Babies",
"eufy doorbell","Home & Living","Home & Living","Home & Living",
"ipad air2 case","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets",
"backpacks with wheels","Travel & Luggage","Pet Food & Supplies","Kids Fashion",
"diy covid test kit singapore price","Health & Wellness",,,
"jegging","Women's Apparel","Women's Apparel","Women's Apparel",
"foldable clothes drying rack","Home & Living","Home & Living","Home & Living",
"ecovacs deebot","Home Appliances","Home Appliances","Home Appliances",
"chair wheels","Home & Living","Home & Living","Home & Living",
"american pharma protein","Sports & Outdoors",,"Sports & Outdoors",
"wooden puzzle","Home & Living","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
"s22 ultra price singapore","Mobile & Gadgets",,,
"club","Lifestyle","Beauty & Personal Care","Beauty & Personal Care",
"s22 ultra price singapore","Mobile & Gadgets",,,
"kpop concert singapore 2022","Lifestyle",,,
"samsung a23","Mobile & Gadgets",,"Mobile & Gadgets",
"best durian in singapore","Lifestyle","Food & Beverages",,
"cos bag","Women's Bags","Women's Bags","Women's Bags",
"slime singapore","Others","Hobbies & Books",,
"suckling pig singapore","Food & Beverages",,,
"burga phone cases","Mobile & Gadgets",,"Mobile & Gadgets",
"gentlewoman bag","Women's Bags","Women Bags","Men Bags","Men Bags"
"rockport shoes singapore","Men's Shoes",,,
"gentlewoman bag","Women's Bags","Women Bags","Men Bags","Men Bags"
"simba top up","Dining, Travel & Services","Men Clothes","Tickets, Vouchers & Services","Tickets, Vouchers & Services"
"round lab sunscreen","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care",
"sling bag men","Men's Bags","Men's Bags","Men's Bags","Men's Bags"
"sketch book","Hobbies & Books","Home & Living","Home & Living",
"green barley","Health & Wellness","Food & Beverages",,
"small umbrella","Home & Living","Home & Living","Home & Living","Home & Living"
"cars toys","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
"puma singapore store","Men's Shoes",,"Women's Shoes",
"cabinet handles","Home & Living","Home & Living","Home & Living",
"kingkoil singapore","Home & Living",,,
"muji bags","Women's Bags",,"Home & Living",
"redwhitemobile singapore","Mobile & Gadgets",,,
"formal shoe","Men's Shoes","Men's Shoes","Men's Shoes",
"colour hair","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care",
"money clips","Men's Bags","Men's Bags",,
"alkaline water dispenser singapore","Home Appliances","Home Appliances",,
"gnc sg","Health & Wellness","Health","Health","Health"
"money clips","Men's Bags","Men's Bags",,
"takis singapore","Food & Beverages","Home & Living","Women Bags","Women Bags"
"simba top up","Dining, Travel & Services","Men Clothes","Tickets, Vouchers & Services","Tickets, Vouchers & Services"
"sling bag men","Men's Bags","Men's Bags","Men's Bags","Men's Bags"
"flexicure cream","Health & Wellness","Health","Health","Health"
"usba to usbc","Computers & Peripherals","Mobile & Gadgets","Video Games",
"plantronic","Mobile & Gadgets","Mobile & Gadgets",,
"dc marten","Men's Shoes",,"Men Shoes",
"singtel top-up prepaid","Dining, Travel & Services",,,
"rubber ducks","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
"think pad","Computers & Peripherals","Beauty & Personal Care",,
"gancube","Hobbies & Books","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
"tempur mattress","Home & Living","Home & Living","Home & Living",
"innisfree dewy tint lip balm","Beauty & Personal Care","Beauty","Beauty","Beauty"
"buy dyson fan","Home Appliances",,,
"glitter eyeshadow","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care",
"well singapore","Home Appliances","Home & Living",,
"icc card","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets",
"kimono singapore","Women's Apparel","Women's Apparel","Women's Apparel",
"spes dry shampoo","Beauty & Personal Care","Beauty & Personal Care","Hobbies & Books",
"tang online","Others","Men Clothes","Books & Magazines","Books & Magazines"
"horizon lights","Home & Living",,"Automotive",
"water colour paints","Home & Living","Home & Living","Home & Living",
"me 88","Others",,,
"mixshop singapore","Health & Wellness","Health","Health",
"jmm cookies","Food & Beverages","Food & Beverages","Food & Beverages",
"casual tops for women","Women's Apparel","Women's Apparel","Women's Apparel","Women's Apparel"
"athletic greens singapore","Health & Wellness",,,
"roller coaster snacks","Food & Beverages","Food & Beverages","Food & Beverages",
"cosmo air purifier","Home Appliances",,"Home Appliances",
"electric pumps","Home Appliances","Automotive","Automotive",
"pillsbury atta","Food & Beverages","Food & Beverages",,
"rubber mat","Home & Living","Home & Living","Home & Living",
"kitchen wallpaper","Home & Living","Home & Living","Home & Living",
"aosept solution","Health & Wellness","Beauty & Personal Care","Beauty & Personal Care",
"spaghetti strap tops","Women's Apparel","Women's Apparel","Women's Apparel",
"luggage handle","Travel & Luggage","Travel & Luggage","Sports & Outdoors",
"av01","Hobbies & Books","Women Clothes","Women Clothes","Women Clothes"
"best microwaves","Home Appliances","Home & Living","Food & Beverages","Food & Beverages"
"russet japan","Women's Bags",,"Women's Bags",
"snova sg","Beauty & Personal Care","Beauty",,
"msi laptops","Computers & Peripherals","Computers & Peripherals",,
"foldable trolley with wheels","Home & Living","Home & Living","Home & Living",
"hla","Men's Wear","Men's Wear","Men's Wear",
"hla","Mobile & Gadgets","Men's Wear","Men's Wear",
"foldable trolley with wheels","Home & Living","Home & Living","Home & Living",
"tjean","Home Appliances","Home & Living","Home & Living","Home & Living"
"gentlewoman tote bag","Women's Bags","Women Bags","Women Bags","Men Bags"
"tjean","Home Appliances","Home & Living","Home & Living","Home & Living"
"tjean","Home Appliances","Home & Living","Home & Living","Home & Living"
"gentlewoman tote bag","Women's Bags","Women Bags","Women Bags","Men Bags"
"honor","Mobile & Gadgets","Mobile & Gadgets",,
"gentlewoman tote bag","Women's Bags","Women Bags","Women Bags","Men Bags"
"new balance 2002r","Men's Shoes","Men's Shoes","Sports & Outdoors",
"tjean","Home & Living","Home & Living","Home & Living","Home & Living"
"sans and sans singapore","Women's Apparel","Computers & Accessories","Beauty","Beauty"
"chow sang sang","Jewellery & Accessories","Jewellery & Accessories","Jewellery & Accessories",
"taylor swift merchandise singapore","Mobile & Gadgets","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"barbie outfits","Hobbies & Books",,"Toys, Kids & Babies",
"jujutsu kaisen popmart","Hobbies & Books","Hobbies & Collections","Hobbies & Collections","Hobbies & Collections"
"sweet home","Home & Living","Home & Living",,
"taylor swift merchandise singapore","Hobbies & Books","Fashion Accessories","Fashion Accessories","Fashion Accessories"
"vca gundam singapore","Toys, Kids & Babies","Hobbies & Books",,
"redmi watch 4","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"nokia magic max","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"sex chair","Miscellaneous","Miscellaneous","Miscellaneous",
"vca gundam","Hobbies & Books","Hobbies & Books","Hobbies & Books",
"jarrons and co","Home & Living","Toys, Kids & Babies",,
"latiao","Food & Beverages","Food & Beverages","Food & Beverages",
"heatwave shoes","Women's Shoes","Women's Shoes","Women's Shoes",
"pristine shampoo","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care"
"xexymix singapore","Women's Apparel","Sports & Outdoors",,
"coolish ice cream","Food & Beverages","Food & Beverages",,
"lex sg","Others","Stationery","Automobiles","Automobiles"
"3d calendar","Home & Living","Home & Living","Home & Living",
"black friday 2023 singapore","Platform Terms (Lazada / Shopee)",,,
"chong aik","Automotive","Food & Beverages",,
"shangrila mooncake","Food & Beverages",,"Food & Beverages",
"vca","Jewellery & Accessories","Jewellery & Accessories",,
"gree aircon","Home Appliances","Home Appliances","Home Appliances",
"fitbit singapore","Mobile & Gadgets","Mobile & Gadgets",,
"taketoys","Toys, Kids & Babies","Mom & Baby","Mom & Baby","Mom & Baby"
"razer seiren mini","Computers & Peripherals","Mobile & Gadgets","Mobile & Gadgets",
"glycolic acid the ordinary","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care",
"nb550","Men's Shoes",,"Computers & Peripherals",
"vhive","Home & Living","Home & Living","Home & Living",
"myiptv4k","Home Appliances","Home Appliances","Home Appliances","Home Appliances"
"yves rocher singapore","Beauty & Personal Care",,"Beauty",
"epsom salt singapore","Home & Living",,"Health & Wellness",
"etude house","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care"
"glossier singapore","Beauty & Personal Care","Beauty","Health","Health"
"mega discount store","Home Appliances","Home Appliances","Home Appliances",
"how to cancel liveup membership","Platform Terms (Lazada / Shopee)",,,
"laptop backpack singapore","Women's Bags","Men Bags","Men Bags","Men Bags"
"sd card reader","Computers & Peripherals","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"alienware singapore","Computers & Peripherals",,,
"where to buy bubble wrap singapore","Home & Living",,,
"oculus singapore","Video Games",,,
"cycling jersey","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"feiyue shoes singapore","Women's Shoes",,,
"where to buy slime in singapore","Toys, Kids & Babies",,,
"shoe bag singapore","Sports & Outdoors","Home & Living",,
"turntable","Home Appliances","Home & Living","Home & Living",
"vacuum machine","Home Appliances","Home & Living","Home & Living",
"levi's singapore","Women's Apparel","Women's Apparel",,
"eva foam singapore","Toys, Kids & Babies","Sports & Outdoors","Mom & Baby","Mom & Baby"
"car decals","Automotive","Automotive","Automotive",
"agent provocateur singapore","Women's Apparel",,,
"ceiling lights","Home & Living","Home & Living","Home & Living",
"lg g4 battery","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"muay thai singapore","Lifestyle",,"Sports & Outdoors",
"teachers day gift","Lifestyle","Home & Living","Home & Living",
"boomjoy spray mop","Home & Living","Home & Living","Home & Living","Home & Living"
"office chairs on sale","Home & Living",,,
"singapore snack","Food & Beverages","Food & Beverages","Food & Beverages",
"tv-antenna","Home Appliances",,,"Home Appliances"
"cambridge audio singapore","Home Appliances",,,
"cafe near lavender","Lifestyle",,,
"cable management box singapore","Home & Living",,,
"cooler fan","Home Appliances","Computers & Peripherals","Home Appliances",
"forever family mask","Health & Wellness","Home & Living","Home & Living","Home & Living"
"forever family mask","Health & Wellness","Home & Living","Home & Living","Home & Living"
"mala oden","Food & Beverages","Food & Beverages","Food & Beverages","Food & Beverages"
"lehaco mask","Health & Wellness","Health & Wellness","Health & Wellness","Health & Wellness"
"mala oden","Food & Beverages","Food & Beverages","Food & Beverages","Food & Beverages"
"american tourister luggage","Travel & Luggage","Travel & Luggage","Travel & Luggage",
"lehaco mask","Health & Wellness","Health & Wellness","Health & Wellness","Health & Wellness"
"donuts singapore","Food & Beverages","Home & Living",,
"collapsible cup singapore","Travel & Luggage",,,
"made in singapore surgical mask","Health & Wellness","Health & Wellness","Health & Wellness",
"laundry basket","Home & Living","Home & Living","Home & Living","Home & Living"
"collapsible cup singapore","Travel & Luggage",,,
"forever family mask","Health & Wellness","Home & Living","Home & Living","Home & Living"
"american tourister luggage","Travel & Luggage","Travel & Luggage","Travel & Luggage",
"hobby.lobby","Hobbies & Books",,,
"besta all pass 3","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies",
"laundry basket","Home & Living","Home & Living","Home & Living","Home & Living"
"11.11 sales","Platform Terms (Lazada / Shopee)","Home & Living",,
"marc jacobs watch singapore","Watches",,,
"light bulb","Home & Living","Home & Living","Home & Living",
"lehaco mask","Health & Wellness","Health & Wellness","Health & Wellness","Health & Wellness"
"memory card","Cameras & Drones","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"baby rompers","Kids Fashion","Kids Fashion","Kids Fashion",
"wok","Home & Living","Home & Living","Home & Living",
"folding chairs","Home & Living","Home & Living","Home & Living",
"led lights","Home & Living","Home & Living","Home & Living","Home & Living"
"wok","Home & Living","Home & Living","Home & Living",
"study table singapore","Home & Living","Home & Living","Home & Living",
"rubine","Home & Living","Home & Living","Home & Living",
"fire emblem fates special edition singapore","Video Games",,,
"烈火如歌","Hobbies & Books","Dining, Travel & Services","Dining, Travel & Services",
"cocoa powder singapore","Food & Beverages",,"Food & Beverages",
"fire emblem fates special edition singapore","Video Games",,,
"kikikeli","Women's Apparel","Women Clothes","Women Clothes","Home Appliances"
"le creuset singapore","Home & Living","Home & Living",,
"cocoa powder singapore","Food & Beverages",,"Food & Beverages",
"kiehl's singapore","Beauty & Personal Care","Beauty & Personal Care",,
"christmas + wreath","Home & Living",,,
"ombre dress singapore","Women's Apparel",,,
"couple bracelet singapore","Jewellery & Accessories","Jewellery & Accessories",,
"kowa mask singapore","Health & Wellness",,,
"black friday sale","Platform Terms (Lazada / Shopee)","Beauty & Personal Care",,
"thirsty","Food & Beverages","Home & Living","Food & Beverages",
"cctv camera for home","Cameras & Drones","Cameras & Drones","Cameras & Drones",
"keens singapore","Men's Shoes",,"Men's Shoes",
"sundress","Women's Apparel","Women's Apparel","Women's Apparel",
"sundress","Women's Apparel","Women's Apparel","Women's Apparel",
"keens singapore","Men's Shoes",,"Men's Shoes",
"vivo y30","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets",
"mai sakurajima","Hobbies & Books","Home & Living","Home & Living",
"cadbury chocolates","Food & Beverages","Food & Beverages","Food & Beverages",
"christmas gifts singapore","Home & Living","Home & Living","Home & Living",
"star hub plan","Mobile & Gadgets","Computers & Accessories","Home Appliances","Home Appliances"
"steam pot","Home & Living","Home & Living","Home Appliances",
"tuucone","Automotive","Beauty & Personal Care","Beauty & Personal Care",
"silicone mould","Home & Living","Home & Living","Home & Living","Home & Living"
"gift for baby","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies",
"cake stand","Home & Living","Home & Living","Home & Living","Home & Living"
"beach mats","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"taltronics","Mobile & Gadgets","Mobile & Gadgets",,
"hair dryer dyson","Home Appliances","Home Appliances","Beauty & Personal Care",
"white monitor","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals",
"bossini online","Women's Apparel","Men Clothes","Men Clothes","Men Clothes"
"fitbit luxe","Mobile & Gadgets","Watches","Mobile & Gadgets",
"brothers printer","Computers & Peripherals","Computers & Peripherals",,
"v hive outlets","Home & Living",,,
"body massager","Health & Wellness","Beauty & Personal Care","Health & Wellness","Health & Wellness"
"ups - singapore","Computers & Peripherals",,,
"oreo sandwich ice cream","Food & Beverages","Food & Beverages",,
"gamakay k61","Computers & Peripherals",,"Computers & Peripherals",
"amazefit","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets",
"hardware city","Home & Living","Women's Bags",,
"hair dryer dyson","Home Appliances","Home Appliances","Beauty & Personal Care",
"see through bras","Women's Apparel","Women's Apparel","Women's Apparel",
"italian marble dining table singapore","Home & Living",,,
"canvas for painting","Home & Living","Home & Living","Home & Living",
"sterra water dispenser","Home Appliances","Home Appliances",,
"goji cream singapore","Beauty & Personal Care",,"Beauty & Personal Care",
"soju flavours","Food & Beverages",,"Food & Beverages",
"wonder boom","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets",
"comfort furniture singapore","Home & Living","Home & Living",,
"mini pc singapore","Computers & Peripherals",,"Mobile & Gadgets",
"bakugan toy","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies"
"tatami bed singapore","Home & Living","Home & Living",,
"new balance 1080v10","Men's Shoes",,"Sports & Outdoors",
"s11","Mobile & Gadgets","Mobile & Gadgets","Home Appliances",
"baby walkers","Toys, Kids & Babies","Toys, Kids & Babies","Toys, Kids & Babies",
"coffee grinder machine","Home Appliances","Home Appliances",,
"powdered milk","Food & Beverages","Toys, Kids & Babies",,
"crypto wallet singapore","Others",,,
"周大福新加坡","Jewellery & Accessories",,,
"transtar travel vtl bus","Dining, Travel & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services","Mom & Baby"
"360 folding bike","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"dim sum buffet singapore 2021","Food & Beverages",,,
"chopper blender","Home Appliances","Home Appliances","Home Appliances",
"wanglei. com. sg","Hobbies & Books",,,
"周大福新加坡","Jewellery & Accessories",,,
"picture frames singapore","Home & Living","Home & Living",,
"scholl sandals","Women's Shoes","Women's Shoes","Women's Shoes",
"transtar travel","Dining, Travel & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services","Tickets, Vouchers & Services"
"porter bag","Men's Bags","Men's Bags","Men's Bags",
"electrolux dishwasher","Home Appliances","Home Appliances","Home Appliances",
"nivea body lotion","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care"
"handphone stand","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"ikea ziplock bag","Home & Living","Home & Living","Home & Living",
"lee heng jewellery","Jewellery & Accessories","Jewellery & Accessories",,
"nivea body lotion","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care"
"full length standing mirror singapore","Home & Living","Home & Living","Home & Living",
"web+cam","Computers & Peripherals","-",,
"danzen","Health & Wellness","Health & Wellness",,
"12cycle","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"victor.","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors"
"olens singapore","Beauty & Personal Care",,"Beauty & Personal Care",
"mookata buffet","Lifestyle","Dining, Travel & Services","Dining, Travel & Services",
"baby-gap","Toys, Kids & Babies",,,
"hand+blender","Home Appliances","Home Appliances","Home Appliances","Home Appliances"
"sim siang choon","Home & Living","Home & Living",,
"ninja tracking","Platform Terms (Lazada / Shopee)","Men Shoes","Men Shoes","Men Shoes"
"airtight containers","Home & Living","Home & Living","Home & Living",
"dining bench singapore","Home & Living","Home & Living","Home & Living","Mom & Baby"
"city bike singapore","Sports & Outdoors","Sports & Outdoors",,
"titan gel","Miscellaneous","Miscellaneous","Miscellaneous","Health & Wellness"
"danboru","Hobbies & Books","Toys, Kids & Babies","Pet Food & Supplies",
"wireless mouse singapore","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals",
"le infotech","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals",
"ruhens","Home Appliances","Home & Living","Home & Living",
"asos sg","Women's Apparel",,,
"erratic molding clay","Beauty & Personal Care","Beauty & Personal Care","Beauty & Personal Care",
"dotted notebook","Home & Living","Home & Living","Home & Living",
"dyson hair dryer stand","Beauty & Personal Care","Home & Living","Home & Living","Home & Living"
"fnhon bike","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"baby fish aquarium","Pet Food & Supplies","Pet Food & Supplies",,
"dyson hair dryer stand","Beauty & Personal Care","Home & Living","Home & Living","Home & Living"
"lv bags singapore","Women's Bags",,,
"poco f3","Mobile & Gadgets","Mobile & Gadgets",,
"durian edition","Food & Beverages","Food & Beverages",,
"binggo","Hobbies & Books","Women's Apparel",,
"google pixel 5 singapore","Mobile & Gadgets",,"Mobile & Gadgets",
"tatoo","Jewellery & Accessories","Jewellery & Accessories","Jewellery & Accessories",
"cabinet hinge","Home & Living","Home & Living","Home & Living","Home & Living"
"si dian jin","Jewellery & Accessories","Jewellery & Accessories",,
"plant stand","Health & Wellness","Home & Living","Home & Living",
"coconut shake","Food & Beverages","Dining, Travel & Services",,
"pagani watch","Watches","Watches","Watches","Watches"
"where to buy face shield in singapore","Health & Wellness",,,
"gmart singapore","Computers & Peripherals",,,
"cute piggy","Home & Living","Home & Living","Home & Living",
"barbeque grill","Home Appliances","Sports & Outdoors","Sports & Outdoors",
"poco f3","Mobile & Gadgets","Mobile & Gadgets",,
"google pixel 5 singapore","Mobile & Gadgets",,"Mobile & Gadgets",
"bed sheets","Home & Living","Home & Living","Home & Living",
"lv bags singapore","Women's Bags",,,
"pagani watch","Watches","Watches","Watches","Watches"
"thermal printer","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals"
"cutlery sets","Home & Living","Home & Living",,"Home & Living"
"akko keyboard","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals",
"cross trainer","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"bedroom slippers","Home & Living","Women's Shoes","Women's Shoes","Women's Shoes"
"pizza stone singapore","Home & Living","Home & Living",,
"spin class","Lifestyle","Toys, Kids & Babies",,
"thermal label printer","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals",
"orthopaedic mattress","Home & Living","Home & Living","Home & Living",
"birkenstock eva","Women's Shoes","Men's Shoes","Men's Shoes",
"vests","Men's Wear","Women's Apparel","Women's Apparel",
"outdoor bench","Home & Living","Home & Living","Home & Living",
"kurta for boys","Kids Fashion","Kids Fashion",,
"aoc 24g2","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals",
"dell u2720q","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals"
"table mat","Home & Living","Home & Living","Home & Living","Home & Living"
"surah yasin rumi","Hobbies & Books","Hobbies & Books",,
"sunset light","Home & Living","Home & Living","Home & Living",
"north point restaurants","Lifestyle",,,
"nude girls","Others","Beauty & Personal Care",,
"aelfric eden","Men's Wear","Men's Wear",,
"cafes","Lifestyle",,"Food & Beverages",
"slippers men","Men's Shoes","Men's Shoes","Men's Shoes","Women's Shoes"
"basketball jerseys","Sports & Outdoors","Sports & Outdoors","Sports & Outdoors",
"pendrive","Computers & Peripherals","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"divider partition","Home & Living","Home & Living","Home & Living",
"singapore groceries","Platform Terms (Lazada / Shopee)",,"Women's Bags",
"mould remover","Home & Living","Home & Living","Home & Living","Home & Living"
"waterproof tape","Home & Living","Home & Living","Home & Living",
"bike station","Sports & Outdoors","Sports & Outdoors",,
"best dehumidifier singapore","Home Appliances",,,
"bar fridges","Home Appliances","Home Appliances","Home Appliances",
"pixel 6a","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets"
"clamp pipe","Home & Living","Home & Living","Home & Living",
"50000mah power bank","Mobile & Gadgets","Mobile & Gadgets","Mobile & Gadgets",
"trolley laptop bag","Travel & Luggage","Computers & Peripherals","Travel & Luggage",
"monitor 32 inch 4k","Computers & Peripherals","Computers & Peripherals","Computers & Peripherals",
"cordless vacuum","Home Appliances","Home Appliances","Home Appliances","Home Appliances"
"cat tree","Pet Food & Supplies","Pet Food & Supplies","Pet Food & Supplies",
"punching bag with stand","Sports & Outdoors","Sports & Outdoors",,
"housewarming gift ideas","Home & Living","Home & Living","Food & Beverages","Food & Beverages"
"worlde","Hobbies & Books","Dining, Travel & Services",,
"soft feather toilet paper","Home & Living",,"Home & Living",
"xiaomi 1c","Home Appliances","Home Appliances","Home Appliances",
"portable lights","Mobile & Gadgets","Home & Living","Mobile & Gadgets",
"pillow wedge","Home & Living","Home & Living","Home & Living",
"video camera","Cameras & Drones","Cameras & Drones","Cameras & Drones",
"steamer machine","Home Appliances","Home Appliances","Home Appliances",
"sofa throw","Home & Living","Home & Living","Home & Living",
